epoch,train_loss,val_loss,train_rmse,train_mae,train_explained_variance,train_r2,val_rmse,val_mae,val_explained_variance,val_r2,train_TP50,train_TP75,train_TP90,val_TP50,val_TP75,val_TP90
1,64451.32166599928,148966.08411458333,151.226988964001,128.28377527372606,-0.6390843857614898,-0.007738515921716411,385.5664967854818,354.8480295817057,0.03978350347942776,-1.2756670355796813,125.33918260231178,146.33136428449941,167.7148916811125,348.8080688476563,377.9595703125,408.07390848795575
2,3066.368475111957,346188.60208333336,53.001522638807735,37.77039089761519,0.15653325804772894,0.9223190897678232,588.0189086914063,545.724722290039,0.07244747903611927,-4.2917822678883875,32.7794040536282,50.70713095086389,68.71073517739524,541.3162679036458,572.3820068359375,602.5709391276042
3,2960.587021831688,393750.684375,52.204248564013874,37.166049326812875,0.1472970929438433,0.9236082080517852,627.1325541178386,582.365185546875,0.02147369384765625,-5.020031483968099,32.38870744425881,49.762199146478245,67.36929721912081,577.9671508789063,609.753428141276,640.3245992024739
4,3162.8375857045958,412571.93125,53.77212811713438,38.59867111908342,0.16808340913581066,0.920638109350803,641.9613240559896,596.4225260416666,0.017113924026489254,-5.308432404200236,33.675219100888306,51.58796682317885,69.467129982665,592.039853922526,623.8886637369792,654.445381673177
5,2998.0219902772783,426878.68125,52.271942904803545,37.463353424391485,0.14177099916891747,0.9233251036959214,653.0100158691406,606.6808959960938,0.018130227327346805,-5.527687835693359,32.9372596182085,50.22929952134647,67.5787938489076,602.2987487792968,634.1324462890625,664.7023071289062
6,3076.5932177938676,426113.11666666664,53.00778310767776,38.08430601463158,0.1352731618256083,0.9219339754292157,652.4347188313802,606.233642578125,0.0395127424928877,-5.516215054194133,33.366213986065596,50.80913907613714,68.67842571306429,601.8110697428385,633.3582112630208,663.8322123209635
7,3027.0671371396115,440105.57916666666,52.7461581369823,37.86668946653231,0.1466417950732605,0.9227120138112471,663.0577718098958,616.1124979654948,0.013328039381239146,-5.7302734375,33.2878183021705,50.73292583002705,68.41139214806975,611.7114013671875,643.6194763183594,674.270088704427
8,2936.061873304295,449197.075,52.12421822647669,37.13535534687122,0.12943777770344356,0.9239252743361884,669.8832784016927,622.5818501790365,0.02231014211972554,-5.869775851567586,32.29542109756789,49.54240948984314,67.53460742838712,618.2260355631511,649.9757588704427,680.5140197753906
9,3006.0628258613365,454140.67083333334,52.42462898797071,37.49583751087907,0.1446899746418664,0.923230367474975,673.5599426269531,626.0565694173177,0.016095234685473973,-5.945431836446127,32.8786459647462,50.22050511188587,67.49044099113432,621.6282063802083,653.5154154459635,684.1454996744792
10,3169.344677274696,456304.58958333335,54.02704759222693,39.1182440514345,0.14376641239248725,0.9204020136071049,675.1643981933594,627.4777648925781,0.015979761679967244,-5.978641653060913,34.32649676271063,52.26660291121096,70.11394558192298,623.1050333658854,654.9641499837239,685.5379496256511
11,2965.68990003514,462610.85104166664,52.29893124951478,37.499755619958854,0.13686920228197313,0.927818208309397,679.8178629557292,631.8545288085937,0.014996788634194267,-6.075280666351318,32.65864393002817,49.89743530401126,67.89102929406585,627.4893961588542,659.3391906738282,689.919492594401
12,3269.770138792413,468000.2520833333,54.444399326915025,39.746883184839994,0.16669645447445058,0.9192619645445915,683.765185546875,635.5852132161458,0.005086745023727416,-6.157712539037068,35.16206003931277,53.13579080493879,70.61914118363768,631.2417928059896,663.21982421875,693.8691670735677
13,3113.515412015396,459258.28958333336,53.556920789774495,38.684787415061535,0.17131465844695704,0.92128608291618,677.2903951009115,629.3822875976563,-0.08951245374149748,-6.022424221038818,34.12456095069023,51.773284114055556,69.23639951889486,625.4214233398437,658.2492980957031,689.431825764974
14,3122.5712819119376,452454.11666666664,53.599079818406366,38.67012298456296,0.1612286721645871,0.9212196259817818,672.3151936848958,624.9183430989583,0.03320021602842543,-5.9197563012441,33.84151595207438,51.89976648306747,69.79518569563223,620.2023478190105,651.8733805338542,682.7760396321614
15,3039.8250857556714,150379.952734375,52.73675012788014,37.80133528290433,0.16808940988537976,0.9225941360246187,380.0341817220052,301.17446085611977,-58.39981210284762,-1.3154213627179463,32.93548707682717,50.57928082932987,68.61025597161328,271.8751406351725,426.93956349690757,531.6349680582682
16,2970.5208760664555,97618.37265625,52.19808982306444,37.52134337485086,0.15377660306427776,0.9236269613190176,311.9582875569661,284.1516082763672,-6.661017859776816,-0.4932978709538778,32.76181177913394,50.0860571681705,67.8778863531775,286.22772521972655,314.5773529052734,342.7441080729167
17,3174.6581030171287,75907.17330729167,53.7488304840471,38.938094717688145,0.15973048321539055,0.9207587676068231,274.01821085611977,245.3635264078776,-2.010027906894684,-0.16291792194048563,34.40080143118503,52.0894335982191,69.42903979951866,241.12974294026694,270.75809377034506,308.7082010904948
18,2932.238188803445,318052.184375,52.054421253284154,37.31914682268597,0.15207115009406283,0.9239111101278201,562.2950185139974,516.6041687011718,-4.478552411529753,-3.8598151048024496,32.67985292059607,49.66497346247589,67.3037734251142,528.1593790690105,575.0101460774739,609.2394653320313
19,2980.972511706492,368652.3104166667,52.32389371065914,37.75114785677219,0.137369161619801,0.9233787882776938,605.4927998860677,549.8421620686848,-12.98878446698189,-4.650331592559814,33.1551234033816,50.78411449448334,68.23409584077332,582.2129170735677,624.4477294921875,652.7413208007813
20,3178.780104888533,433551.528125,53.94597855571922,38.952499126290675,0.1636500690605185,0.9201876102132278,658.1806844075521,611.8265096028646,0.16933625340461728,-5.6323915958404545,34.11153408673019,51.73105607770976,70.05693194656692,607.4559509277344,637.1124633789062,666.2143473307292
21,3045.3654882199594,417359.96770833334,52.697936309431384,37.99893368836726,0.12663866672223248,0.9267642779829113,645.7237365722656,599.9701680501302,0.08879359549946256,-5.383640384674072,33.12017648289892,50.875458553745155,68.91796742523066,595.9012084960938,626.7858764648438,656.1028727213542
22,2994.871260766704,443388.2520833333,52.46372032963581,37.45387442840193,0.16227019353557998,0.9232892014990292,665.545479329427,618.5764404296875,0.04443980680571662,-5.781091976165771,32.42958960273775,50.28106345491928,68.37598149447261,614.1940612792969,645.6568562825521,676.0226440429688
23,2897.946603176484,411483.578125,51.73108012307139,36.95261715845084,0.14368020455707567,0.9246189903514654,641.1574096679688,595.7805358886719,0.09751466963026258,-5.292922194798788,32.07183065374526,49.17906072448986,67.11802614283862,591.3548807779948,622.1064208984375,652.0152119954427
24,2844.482985747908,404456.56875,51.26524383353389,36.70660886405402,0.11109636697809062,0.9297142759526624,635.6430684407552,590.5660990397135,0.0785393720202976,-5.184942801793416,31.893201405034404,49.067549509982186,66.60936229498317,586.15205078125,617.1689921061198,647.238818359375
25,2867.416899740945,273887.3828125,51.35227439593072,36.73892207923793,0.17394752234760857,0.9249788774606075,522.3481394449869,482.1008656819661,-1.8646977514690823,-3.1830359935760497,32.04915732220127,49.107331678957124,66.66170621417058,482.6527353922526,524.3807922363281,559.3340311686198
26,3011.6059876765166,456541.9635416667,52.71251621006922,37.99399292119876,0.14175070239909027,0.9225953660250708,675.3451070149739,627.7058858235677,0.025230531560050118,-5.9824255784352625,33.10028851880189,50.79992908812966,68.55451575881766,623.3339335123698,655.0692789713542,685.5583190917969
27,2999.30216335153,421616.85104166664,52.52534339617486,37.68868055303725,0.15579235472273462,0.9230073860000866,649.0096211751302,603.1708821614583,0.09280607673856947,-5.4482861995697025,32.934013518329444,50.07378052268567,68.0181490048205,598.816465250651,629.5998677571614,659.4399820963541
28,2917.764396380181,436985.1979166667,51.95152392846271,37.126627973931605,0.12227364366190861,0.9241627537056991,660.6872212727865,613.9429606119792,-0.012701940271589489,-5.682995780309041,32.26180687110294,49.46731743752707,67.43640882101019,610.1901184082031,641.9251627604167,672.0510213216146
29,2887.8419031119247,344980.17291666666,51.60603460208143,36.70491707773887,0.11770884107845117,0.9245423527442261,586.5104573567709,542.9865743001302,-1.8957374354203542,-4.277002271016439,31.794284613062647,48.83951512739748,66.7631522461959,548.3538950602214,586.071034749349,615.1053100585938
30,2813.6456732969405,99061.275,50.93648482765613,36.23640098731388,0.14419111201287654,0.92582531304539,313.30592651367186,282.7124084472656,-2.596372712055843,-0.5264061669508616,31.199968242246236,48.37134192877733,66.17208819209782,277.56277923583986,318.8865046183268,359.2766520182292
31,3001.3025081107808,265855.765625,52.55551078828309,37.83004223651966,0.14711896668251923,0.9231203819418552,512.0746246337891,459.5231943766276,-9.384799338844088,-3.0444586197535197,32.922629328452395,50.700606645400555,68.63392554566451,476.2422821044922,540.9841908772786,588.5881500244141
32,2902.90643846839,308128.5494791667,51.74384406820002,36.97250601636815,0.14373817515339968,0.9245348440553354,552.566030883789,502.4203125,-7.530168578094906,-3.700540328025818,32.246464845026885,49.57044547970823,67.26949251246752,521.5924051920573,576.7674896240235,616.1879577636719
33,3073.805192891524,84144.68580729167,53.168708960880295,38.273187788959326,0.15772862346268765,0.9262749914344883,284.14940338134767,224.62261912027995,-23.931799712048637,-0.27449450890223187,33.35048533483529,51.07534815576785,69.23190764103973,214.98418680826822,319.0092198689779,386.62000834147136
34,2789.146433044178,92457.48138020834,50.78330273807797,36.21359497134157,0.14419219705017702,0.9304065701851785,299.1551986694336,236.73727569580078,-44.966995103624136,-0.41344257195790607,31.373826653388754,48.52428356473915,65.97442117794787,214.53120193481445,339.68470102945963,419.3507354736328
35,2824.9564423501242,94198.963671875,51.0823162190585,36.50040431002693,0.1436953763748978,0.925735878395735,299.5123998006185,236.00593007405598,-51.10419459740321,-0.4288216610749563,31.668470111352132,48.763595197988856,66.45094589807996,213.91753387451172,328.87264658610025,416.58875579833983
36,2775.2950692276577,73715.66549479167,50.69286588245855,35.97977097164138,0.135959595682897,0.9263185913592702,266.6375498453776,215.3661687215169,-32.794096409214866,-0.12066380381584167,31.005415281990082,48.17433239924858,66.02165340279934,207.57338740030926,295.8956548055013,364.98277587890624
37,3040.3438365728784,376619.225,53.044487119219795,38.41507437638159,0.16650539277487716,0.9266073464349722,613.034619140625,563.4335225423177,-6.042361390325758,-4.765547974904378,33.59959041324121,51.517975803199676,69.44663235333175,577.916796875,605.3249369303386,632.2283142089843
38,2934.845914066586,228362.353125,52.092625701776605,37.36749850157415,0.12308714097181284,0.9240185877768066,473.3653157552083,399.6603047688802,-63.57644524653753,-2.4829328576723735,32.500293444390074,49.704784991850914,67.72493937025509,431.32955067952474,536.5276143391927,590.3872111002604
39,2722.132208277491,298285.2247395833,50.34274110035916,35.71384492179838,0.18150263629032803,0.931246701144773,534.8566314697266,421.19386291503906,-127.09244845019448,-3.5536880215009052,30.672247220282774,47.88369010382616,65.40814390940646,376.9060414632161,579.5389994303385,749.8583374023438
40,2815.788547914896,285087.23072916665,50.88548076900977,36.34658500639465,0.1775331149041403,0.9258896451614891,529.904618326823,473.70216979980466,-17.173927078511984,-3.362309384346008,31.69305290637156,48.50296575953272,66.06296876085354,447.89320576985676,541.1530375162761,636.7980967203777
